Value,Value_HeatPump,Value_OtherAppliances
0.04778461,-0.068686225,0.45381698
0.32804555,0.26555452,0.3142647
0.54500175,0.51336944,0.56452173
0.48619533,0.6476978,0.7070803
0.4158476,0.6661164,0.6258387
0.27497575,0.58722115,0.52600133
0.3245299,0.68305814,0.6087357
0.4226997,0.7809197,0.5678676
0.29821575,0.30491984,0.27359638
0.099108644,0.15237734,0.21198896
0.2310684,0.41730902,0.40079913
0.059548132,0.16561165,0.2580521
-0.029811218,0.13785541,0.26267728
0.11704766,0.26186338,0.40667865
0.18723002,0.28410214,0.5051874
0.41644093,0.33502355,0.34999254
0.0792651,-0.037731946,0.057164297
0.05722656,-0.11826987,0.099078886
0.032752544,-0.13155095,0.13634521
0.11871863,0.16491708,0.19701621
0.00030789524,0.09642609,0.040833108
-0.06620584,-0.005162634,0.13300516
0.10370053,0.07627318,0.08262494
0.50563157,0.39648074,0.35774377
0.0786948,0.0006222632,0.18562758
-0.1304816,-0.18953976,0.19386216
-0.016525898,-0.16834232,0.37558907
0.046415232,-0.071835324,0.3787078
-0.07453966,0.15221687,0.25315207
0.5363418,0.47313064,0.4747723
0.04422288,0.053083345,0.12863702
0.002791632,-0.040770344,0.13629806
0.09811133,-0.11336737,0.273982
0.13159925,-0.07210035,0.33430925
0.004442863,-0.06711266,0.3873426
0.023802988,-0.1317834,0.48678282
0.5320145,0.45121342,0.36828265
0.6947504,0.7307683,0.53517085
0.2400189,0.5272138,0.19878498
0.35752892,0.6612998,0.23099041
0.46701252,0.7252853,0.39819196
0.46821776,0.84638286,0.44203576
0.27672404,0.7243217,0.3363635
0.25648108,0.2255675,0.2377961
0.39605156,0.44602674,0.3383328
0.12476353,0.27792668,0.10302981
0.22407877,0.53083736,0.2636263
0.19589514,0.67360646,0.24694093
0.26447928,0.7670306,0.31039274
0.2739136,0.7316733,0.3633964
0.4305451,0.28774363,0.23143512
0.25162408,0.19286841,0.09171112
0.4123054,0.5134237,0.2510682
0.1543611,0.3997731,0.17931509
0.24968421,0.48349103,0.26091868
0.26172173,0.49940675,0.26318514
0.31610334,0.53841776,0.3502364
0.79609185,0.6646061,0.6185214
0.24573833,0.23511726,0.2479505
0.2604745,0.20326144,0.21758744
-0.026201788,0.027993506,0.21339945
0.0067847036,0.088621974,0.37045795
0.11046562,0.14877976,0.33369067
0.18426156,0.24894916,0.38626707
0.5697263,0.45376238,0.5290525
0.6528861,0.6063715,0.73055685
0.4818525,0.53816503,0.6539355
0.28601378,0.44603223,0.4642937
0.28064394,0.55681187,0.3721603
0.3691379,0.57022905,0.36850938
0.32576615,0.47974327,0.42693868
1.0402317,0.9396857,0.9910574
0.7621659,0.78961897,0.87884015
0.58767796,0.72929597,0.70901215
0.32886916,0.53075945,0.39607015
0.44390148,0.72364575,0.5307567
0.3862703,0.7368634,0.5633756
0.37313157,0.554187,0.47984383
0.7629826,0.4694718,0.5451868
0.5822948,0.42021304,0.4280682
0.4955564,0.4378674,0.4364159
0.41772264,0.5104197,0.38942537
0.3908179,0.59850246,0.4301286
0.43311965,0.651258,0.36582085
0.23734635,0.40075278,0.47779807
0.5904031,0.5238654,0.49634206
0.6339859,0.60131484,0.6039631
0.47556877,0.44035193,0.4903433
0.25678957,0.19218795,0.4098945
0.4457572,0.39723152,0.47567704
0.26471564,0.495395,0.33691993
0.20261553,0.5172306,0.28195265
0.010576762,-0.009668702,0.026871601
0.4045499,0.27197945,0.43408534
0.14206241,0.05053977,0.31269228
0.042316593,0.035798296,0.2052543
0.16195774,0.25006035,0.21433103
0.038018093,0.22138914,0.20187859
0.21947372,0.48606107,0.21265732
0.31723058,0.13762239,0.20146239
0.5401343,0.26036078,0.37892693
0.47623214,0.28163037,0.30878603
0.25701484,0.27148625,0.20337987
0.27706602,0.36503863,0.32927465
0.17719743,0.34418842,0.3242866
0.16778544,0.45032912,0.21791539
0.28403136,0.1503579,0.28402713
0.350193,0.13161775,0.34076604
0.27527696,0.097869106,0.29941887
0.15637043,0.10113707,0.20472658
0.2309683,0.24746731,0.27880326
0.09673076,0.15654679,0.19086377
-0.0009803735,0.11271796,0.11929445
0.5154309,0.37575215,0.4239588
0.58969235,0.41921574,0.4714526
0.31384116,0.24364713,0.23842047
0.32564497,0.28686544,0.195312
0.235432,0.31529275,0.35300615
0.29393572,0.42861295,0.26203582
0.20563623,0.4566239,0.20541698
0.2673558,0.20594531,0.19675592
0.073852524,0.036658343,0.0892679
0.3213889,0.44105434,0.2420944
0.2434921,0.48275828,0.15909153
0.2183998,0.4958015,0.07258615
0.22707921,0.45983076,0.080741756
0.17144981,0.52480435,0.18673506
0.5797975,0.47578067,0.56643635
0.26868546,0.20999777,0.28712496
0.30103394,0.18406188,0.43064696
0.06915178,0.1401763,0.3016105
-0.090037204,0.058092147,0.22724585
-0.04563856,-0.1089732,0.328845
0.066363886,0.06295236,0.15805751
0.52039003,0.4288602,0.35214067
0.34515223,0.30534083,0.19786668
0.13245031,0.09974909,0.053803936
0.14684293,0.24503013,0.1863739
0.1371908,0.32999238,0.27021343
0.09307635,0.2757463,0.17526902
0.096517265,0.2544283,0.07724933
0.4892913,0.36332685,0.39288953
0.51820046,0.41313186,0.43490246
0.24723384,0.35578972,0.2882113
0.13109002,0.2564106,0.32122925
0.16430438,0.26415902,0.47004715
0.22597158,0.19574995,0.6197031
0.2969677,0.23225978,0.6540025
0.20382425,0.2199821,0.1859288
0.6034677,0.4695884,0.53741074
0.35008833,0.5743669,0.48311234
0.4931907,0.7310467,0.6594423
0.3478223,0.5408418,0.51698667
0.6004497,0.6736629,0.6058361
0.4173597,0.63983774,0.40437526
0.5439448,0.47729707,0.47702244
0.39192814,0.3736462,0.29570952
0.2515928,0.2807579,0.20723437
0.3332835,0.51954675,0.18494943
0.39397278,0.5796111,0.1917801
0.3553886,0.5619505,0.17184407
0.29958618,0.61261815,0.19497746
0.21778247,0.098240875,0.20499496
0.2545753,0.18990962,0.24221176
0.43445492,0.45461726,0.533961
0.53476053,0.6375124,0.6857374
0.27748293,0.55744064,0.37932006
0.32349318,0.5979581,0.34174696
0.2509805,0.53489554,0.31195864
0.40054804,0.16724189,0.2496395
0.44332764,0.34110838,0.3424912
0.2386705,0.23068282,0.22925021
0.191827,0.35110998,0.24613285
0.2614818,0.6014879,0.27798316
0.25518373,0.6991136,0.31129888
0.33703655,0.7460338,0.3343762
0.26176408,0.24145837,0.24698585
0.5861683,0.58556354,0.60904914
0.1830576,0.22461896,0.2670027
0.23368049,0.32990792,0.30129096
0.124351256,0.30969542,0.30012476
-0.01408343,0.29551548,0.17458868
0.058712974,0.30166754,0.33880544
0.3559247,0.19286923,0.2785578
0.31016144,0.24629936,0.2503722
0.24991569,0.22680494,0.24662754
0.3124721,0.28237045,0.3281357
0.24753189,0.4071546,0.3997618
0.4840992,0.59527254,0.47804418
0.34569967,0.58178806,0.4051019
0.42513573,0.26315215,0.34086815
0.26281846,0.12214596,0.15924384
0.3118062,0.25098363,0.16403952
0.29750067,0.2571406,0.11149056
0.20805356,0.2848773,0.12577496
0.15743575,0.17735007,0.31489286
0.086587794,0.119570576,0.40696052
0.3347051,0.20043094,0.22065201
0.16399327,0.033473115,0.12131675
-0.03577686,-0.059214316,0.20815289
-0.009887643,-0.007990735,0.45871815
0.15291199,-0.010975251,0.62300193
0.04763075,-0.11942946,0.617412
0.05771544,-0.100320354,0.5301022
0.37679026,0.32174236,0.16726342
0.5209916,0.46425405,0.2294562
0.42349458,0.48365152,0.3252779
0.5196639,0.61284196,0.3954758
0.50587606,0.7485857,0.34795478
0.47501126,0.823812,0.33071157
0.3660242,0.7727455,0.35997668
0.44470304,0.43819547,0.4000774
0.2666354,0.41136074,0.25138834
0.35760832,0.46743825,0.29332733
0.32431683,0.5218323,0.14516915
0.23454013,0.54602265,0.10560036
0.20689684,0.53739864,0.15901375
0.01488097,0.34927404,0.08452776
0.688399,0.5731352,0.48144102
0.5592549,0.5139254,0.38260671
0.80388355,0.7547176,0.4120354
0.4142276,0.63813317,0.24648088
0.30829763,0.7783483,0.2789778
0.4539103,0.91979915,0.41471443
0.48459682,0.7656087,0.4657441
0.23376763,0.2387737,0.1487023
0.30663532,0.2760563,0.23428674
0.5261566,0.5740429,0.49059504
0.3557393,0.42683107,0.42929244
0.48644704,0.75882614,0.60570025
0.33279783,0.65739864,0.47162947
0.3802714,0.8740674,0.5704469
0.63747454,0.619167,0.5425092
0.56296635,0.6027781,0.5729421
0.66201305,0.81977284,0.72131354
0.35268947,0.7067667,0.42591897
0.29347822,0.63200665,0.3497605
0.51888937,0.87765324,0.4729953
0.42983198,0.8041514,0.2995181
0.3843943,0.30806965,0.34038997
0.46983945,0.4047912,0.4681227
0.2708641,0.40071732,0.29645997
0.32805818,0.50859267,0.31488207
0.36519408,0.61112654,0.28361177
0.29285675,0.64346725,0.15244576
0.3154092,0.76933616,0.23745508
0.5776893,0.42724088,0.586381
1.2134783,0.9580213,1.2108878
0.93479013,0.75919807,1.062008
0.70971316,0.7639251,0.85060745
0.9180341,1.07821,0.9757337
0.6830341,1.0139359,0.74486154
0.68489623,1.0637642,0.6132192
0.34787878,0.20342311,0.2477291
0.265347,0.17728125,0.23058257
0.26842263,0.21470523,0.2058936
0.23994032,0.340405,0.28732872
0.11728976,0.41082668,0.26776862
-0.016634874,0.35119998,0.1940494
0.1451428,0.4331283,0.23161712
0.5704396,0.47466773,0.44315073
0.77811587,0.7247615,0.6702623
0.5141925,0.6637889,0.48089182
0.5857307,0.925372,0.594165
0.62311894,0.9260927,0.5985846
0.6728978,0.955392,0.74797934
0.70414686,0.9439769,0.52661854
0.6742469,0.47434592,0.4343501
1.0230838,0.77691084,0.75997907
0.7807329,0.73589134,0.84016067
0.6745999,0.735223,0.87700075
0.5828534,0.61678445,0.75507456
0.51116973,0.70324147,0.64992493
0.6206946,0.9115523,0.63294303
0.12239995,0.039715074,0.023588775
0.033557452,-0.02213165,-0.010696741
-0.002502527,-0.15249695,0.11194015
-0.07734943,-0.24985129,0.15128602
-0.17537263,-0.20625219,0.1690709
-0.026754268,0.10079049,0.15997183
-0.034805126,0.2701515,0.054981314
0.11757339,0.14442284,0.16142249
-0.18044096,-0.15091753,-0.07120373
-0.14012143,-0.15457886,0.040811464
-0.10074381,-0.12600854,0.18210214
-0.103126965,-0.09170034,0.18586855
-0.15618208,-0.04921089,0.12244578
-0.28266025,-0.16592564,0.06513099
0.30663893,0.23329532,0.17134115
0.9343313,1.0320919,0.8619277
0.93225396,1.0687706,0.92498726
0.7988423,0.9378771,0.7917482
0.7718505,0.88400364,0.7210327
0.63366234,0.869583,0.60589546
0.5742803,0.90642995,0.5026722
0.36016506,0.20807485,0.32720864
0.39456427,0.2779973,0.34089115
0.27824104,0.1823605,0.1937578
0.4951951,0.54891455,0.36789072
0.20217931,0.49587548,0.20866832
0.27324444,0.6995714,0.37124744
0.32633698,0.7801792,0.467973
0.5899404,0.5310018,0.53304917
0.2614049,0.3154748,0.2559505
0.33184782,0.34614152,0.22716397
0.18817908,0.28301167,0.13812375
0.20356455,0.21892455,0.31043264
0.22792628,0.27694982,0.3634473
0.1472785,0.32552475,0.397648
0.13226917,0.07986182,0.0838649
0.17904925,0.08373481,0.09553081
0.11124787,0.10630598,0.040128276
0.17825505,0.41844243,0.14852081
0.17052731,0.41549912,0.1397449
0.079381205,0.32606447,0.033994995
0.21018273,0.5043762,0.22103655
0.48413724,0.32001784,0.4342772
0.33410382,0.21208172,0.3845825
0.30835572,0.30216673,0.40858456
0.4621727,0.5073273,0.5769825
0.12744066,0.3897891,0.36151025
0.17945796,0.533815,0.33449242
0.32242927,0.673917,0.37365374
0.6713253,0.42614686,0.52987903
0.6879295,0.55679196,0.5941387
0.7234072,0.6875883,0.6824569
0.74564886,0.86130685,0.6272237
0.8728527,0.9689963,0.8704255
0.6800806,0.98370075,0.65756726
0.7303097,1.0980523,0.70441025
0.49343336,0.4497646,0.46696055
0.67770135,0.5752524,0.6184954
0.47453463,0.47079164,0.49413374
0.41599646,0.5413848,0.5181681
0.29998556,0.44882128,0.34509847
0.29350853,0.5485931,0.35089532
0.3382815,0.5355701,0.49381545
0.5169575,0.38540497,0.49273944
0.41143358,0.28831363,0.4939482
0.4567789,0.45704752,0.49669227
0.17304331,0.199826,0.22451174
0.105500326,0.23262404,0.24765368
0.21819425,0.3760413,0.2428403
0.15217537,0.42453957,0.12694354
0.09562977,0.005504014,-0.01563547
-0.104185216,-0.1492487,0.025483659
-0.11429881,-0.25561124,0.21581653
0.01800814,-0.15036982,0.3990756
0.015584338,0.012741951,0.3447835
-0.009649359,0.04329167,0.16726227
-0.062486045,0.149065,0.14815024
0.48228127,0.42724764,0.40708634
0.38353014,0.3714618,0.41563496
0.28579715,0.24518101,0.26759186
0.31079456,0.47240207,0.32337093
0.400697,0.6078867,0.37440857
0.34313124,0.49998415,0.45033664
0.42343038,0.54239494,0.4841257
0.36141658,0.28231004,0.23415057
0.24584123,0.28406978,0.25891066
-0.010516256,0.16330552,0.23458973
0.08099379,0.2102764,0.21119148
0.109273486,0.24683747,0.24003372
0.19385523,0.34454072,0.32286867
0.086259104,0.37557414,0.30404606
0.5829184,0.4832149,0.48761517
0.25585026,0.1956778,0.25335065
0.2865938,0.3089136,0.34266463
0.44745767,0.49584803,0.31994268
0.19717374,0.3131851,0.20679846
0.14743233,0.30612096,0.1774782
0.23307592,0.44256356,0.15269071
0.8287133,0.6165124,0.7253011
0.3463419,0.25371578,0.27659434
0.615929,0.4402542,0.53248113
0.4412459,0.3291098,0.4068607
0.5309333,0.50827074,0.3664166
0.40880522,0.45246089,0.16582718
0.4165125,0.5977702,0.15529475
0.43336058,0.3429639,0.3094659
0.34967744,0.3064394,0.25580928
0.15006217,0.16411972,0.2374663
0.06990129,0.092193834,0.4083696
0.077739984,0.08224224,0.48920318
0.09348763,0.08299808,0.50330645
0.057390645,-0.0048035774,0.53759515
0.50596,0.4242465,0.37526372
0.16184324,0.12348623,0.1108638
0.3077703,0.290716,0.261379
0.28375578,0.38961554,0.28068724
0.2502246,0.37956235,0.15001917
0.23587257,0.3426544,0.20956197
0.27860183,0.45765984,0.3231477
0.31638184,0.108995564,0.19258623
0.099947594,-0.1903022,0.14126313
0.10762928,-0.08749104,0.2509554
-0.00012478232,0.09413804,0.15865646
0.017673932,0.22046782,0.22001135
-0.0043863803,0.12873124,0.20927775
-0.01583431,0.11870565,0.17794546
0.8419738,0.71579885,0.6802411
0.6946261,0.6411085,0.6146912
0.50222015,0.68139577,0.5061201
0.2884462,0.6389841,0.3265355
0.28558105,0.5641075,0.24850398
0.32029346,0.4759239,0.23130831
0.3640882,0.4226662,0.2669695
0.39003426,0.295497,0.37966597
0.1208136,0.005610829,0.16730987
0.07964788,0.08011768,0.14522767
0.10645115,0.1384071,0.22043535
0.110584594,0.14876656,0.26520273
0.16576818,0.25288942,0.29136223
0.2108559,0.49292558,0.29351458
-0.102440365,-0.15316619,-0.033709325
-0.09011584,-0.0923203,0.023186935
0.003319174,-0.046357945,0.1343957
0.0032276101,-0.081498116,0.10605744
-0.07967072,-0.010228278,0.11902194
-0.19172892,-0.05060696,0.03215339
-0.12193198,-0.068267934,0.06528908
0.52977425,0.43694353,0.3615177
0.19186074,0.28167298,0.15411119
0.2329779,0.46609667,0.15906769
0.30954236,0.5839701,0.36206606
0.059641156,0.41705018,0.22389458
0.17870039,0.5109972,0.2693481
0.13397428,0.5711983,0.33104992
0.11210033,0.066941775,0.07825648
0.17053357,0.095281266,0.09237087
0.34322405,0.17468335,0.16273698
0.16712168,0.04345884,0.04079052
0.17454231,0.09533771,0.0718468
0.3306429,0.37200028,0.12552416
0.0013067499,0.20282643,0.11640278
0.5449691,0.40591142,0.22227213
0.75203955,0.68711585,0.48905256
0.748364,0.75963306,0.5647901
0.6669373,0.85614824,0.58914024
0.6912791,0.95710564,0.72186595
0.66660905,1.0136423,0.65772605
0.6921534,1.0782727,0.57207066
0.31205058,0.2032979,0.216617
0.19796616,0.1380373,0.25379208
0.09984994,0.24074775,0.19080766
0.28312713,0.5833132,0.35791373
-0.047978036,0.27532947,0.29793784
0.08076671,0.34077072,0.3974878
0.14703253,0.2874199,0.504128
0.14680803,0.14172907,0.13276926
-0.043671504,0.026273904,0.030613987
0.0074032582,0.07020135,0.17715143
-0.09962023,0.063815095,0.1834419
-0.113292105,-0.02821344,0.1980144
-0.13787234,-0.0015378483,0.23557967
-0.13710597,-0.019408876,0.37552238
0.14772528,0.037884884,0.10978997
0.1252186,0.08012429,0.1433378
0.12020005,0.00991985,0.1541869
0.13845667,0.06746169,0.17400968
0.08145811,0.1136626,0.27319285
-0.006851267,0.19394115,0.2944215
0.094352975,0.25540262,0.33819625
0.12514958,-0.012420649,0.057306245
0.031570535,-0.04044415,0.123335786
-0.19338411,-0.1419498,0.1913368
-0.231049,-0.16018173,0.18220711
-0.15920892,-0.19481146,0.17311591
-0.0513395,-0.11628877,0.2084792
0.04557515,0.13379379,0.19148001
0.52502507,0.46116713,0.42248937
0.5824995,0.55139077,0.52060676
0.26405653,0.2989864,0.34852433
0.22596359,0.2682183,0.27952287
0.306115,0.41355175,0.3157718
0.21169472,0.43980822,0.2517199
0.21263897,0.5174165,0.2331868
0.5946348,0.4466921,0.45049268
0.407849,0.30838475,0.34647492
0.30202758,0.1451517,0.33261245
0.4922089,0.44766232,0.4808943
0.42169607,0.48948923,0.47722796
0.394867,0.5263593,0.40166286
0.28409454,0.49648446,0.3011156
0.17380527,0.10986049,0.06552354
0.095122606,-0.056973107,0.0732265
0.361483,0.20254661,0.29476002
0.11838304,0.06176935,0.23105136
0.13293518,0.30657935,0.285719
0.06944852,0.3129879,0.2304223
0.04597824,0.3251121,0.24343708
0.020955198,-0.027397158,0.012415069
0.2451885,0.11372382,0.13369456
-0.023317695,-0.1021752,0.13591877
0.11569002,-0.007998077,0.20171715
0.20651579,0.09052696,0.19824067
-0.042557962,0.07241375,0.18051088
0.028092809,0.24688317,0.2388591
0.16449136,0.13682912,0.17924035
0.068572655,0.16486518,0.15111855
-0.09299091,0.07449874,0.1491261
-0.011925928,0.07218478,0.28444135
0.066170245,0.119232304,0.3583046
0.074945554,0.019256523,0.42008317
0.13340396,-0.024290713,0.46627733
0.06619799,0.15708281,0.031232888
0.52391326,0.5238733,0.44594115
0.30023426,0.39660555,0.33035523
0.2994035,0.5846945,0.3480591
0.2870133,0.55908215,0.25910252
0.18648556,0.6047865,0.20903862
0.29073223,0.7014109,0.26837578
0.37723476,0.28801566,0.25393775
0.31397104,0.2508593,0.25936052
-0.064932816,0.06772936,0.072189964
0.050671116,0.07628102,0.21413505
0.09318599,0.06647461,0.26361212
-0.027911298,-0.030311788,0.35312784
-0.056727752,-0.17528515,0.5269238
0.46527874,0.33327442,0.43323967
0.22501373,0.22440335,0.276074
0.3964556,0.44296065,0.38524142
0.25492397,0.21924719,0.24618115
0.41968915,0.4650591,0.31265685
0.38989004,0.6113602,0.31337258
0.1314398,0.53693545,0.19337055
0.556358,0.3977607,0.49171954
0.28657025,0.33790275,0.36006907
0.2487824,0.29330567,0.40913466
0.112976044,0.19707265,0.3711716
0.132734,0.30256405,0.29330084
0.22127253,0.39791372,0.25332877
0.19665733,0.37926814,0.21924314
0.0014411509,0.02793671,-0.01510931
0.030740198,0.099369876,0.026554896
-0.020680528,0.07113202,0.09955207
-0.06593815,0.095764376,0.11580495
0.02940631,0.28421387,0.23660468
-0.044374324,0.28093395,0.21876279
-0.0640777,0.30674082,0.17750254
0.41152015,0.2836535,0.25912046
0.09430219,0.12171968,0.09940676
0.19118708,0.16916911,0.2190733
0.13562874,0.10726299,0.21010181
0.11292084,0.06606118,0.36093193
0.28165075,0.12019994,0.46966845
0.07365462,0.03778602,0.37240073
-0.047575563,-0.08784707,-0.11641965
-0.031164773,-0.11192479,-0.14758523
0.21283853,0.14701733,0.033473313
0.013934493,0.044204645,-0.09533494
-0.07210176,0.21199737,0.029863136
-0.083081335,0.288743,0.07379712
0.09477275,0.28047335,0.10014719
0.9134238,0.7003673,0.72862226
0.9560642,0.8044573,0.8681051
1.0907912,1.0868639,1.0722046
1.4930137,1.5187469,1.6026982
0.94273764,1.0203708,1.1301081
0.68595684,0.9938384,0.8322031
0.7961111,1.1121175,0.76202697
-0.0830625,-0.14568192,-0.042757772
0.045129247,-0.03657203,0.14163055
0.08280228,0.020001138,0.2378324
-0.0036660135,-0.053640418,0.27092326
0.11916847,0.08543428,0.29039374
0.038797185,0.074188665,0.31032184
0.021351283,0.088319495,0.29523548
0.4319569,0.3690155,0.44562462
0.3303665,0.23225364,0.31243512
0.24213865,0.25225937,0.25824946
0.27393538,0.28953746,0.23018229
0.10253658,0.13542491,0.27419725
-0.013662703,0.09438572,0.25645277
0.11953697,0.3078825,0.33534354
0.37890851,0.29641542,0.23963943
0.2513953,0.1818371,0.17254332
0.28082982,0.25188598,0.2690277
0.27322856,0.3493449,0.27618012
0.22665891,0.29201037,0.4059843
0.31687564,0.28634638,0.40426978
0.26074842,0.30925947,0.40289834
0.073657125,0.09035421,0.035880316
0.005741859,-0.00021392666,0.025610454
0.21054769,0.24938434,0.1642691
0.047443368,0.04153788,0.10887068
0.23542589,0.23848678,0.11279466
0.10707098,0.14657097,0.08942997
0.16310549,0.3633731,0.15376697
0.64505816,0.55451113,0.43666154
0.7296426,0.6466805,0.68972
0.5105668,0.4873075,0.64251155
0.42143047,0.61748165,0.5708642
0.5357347,0.77756524,0.5111261
0.4842343,0.8313339,0.35254985
0.4474903,0.8697219,0.34203205
0.45797756,0.30259904,0.3864083
0.6378956,0.48672432,0.5775544
0.47973365,0.32097876,0.53631693
0.8187652,0.62351906,0.8791335
0.8476513,0.6387142,0.83121127
0.72328657,0.7180454,0.7190401
0.79456925,0.8356369,0.7036411
0.13544947,0.08166845,0.03825932
0.12148993,0.12145947,0.028555607
0.067282684,0.1664084,0.11553883
-0.019021288,0.21223606,0.15166003
0.17114988,0.3997179,0.29721713
0.27980617,0.52979636,0.34880784
0.1742292,0.47555512,0.23707959
0.7064117,0.5828115,0.53489494
0.27768475,0.308977,0.33956525
0.1867961,0.30869317,0.22776575
0.25774154,0.48354298,0.3359036
0.10711645,0.37016076,0.23807202
0.25674453,0.522803,0.31377754
0.1166568,0.48629272,0.20203602
0.4762804,0.30029434,0.35843754
0.4864695,0.27723014,0.308794
0.28546292,0.19764203,0.25939828
0.30202937,0.27099088,0.2700206
0.5461755,0.54159963,0.41992965
0.4844239,0.4196865,0.4082288
0.35689637,0.38470978,0.33016196
0.4430279,0.35929677,0.29461294
0.76475805,0.69647133,0.6450481
0.54760253,0.68747914,0.4954073
0.44027245,0.6076802,0.4168217
0.56740963,0.86733055,0.53235584
0.6105666,1.0880721,0.52141255
0.70791453,1.2149898,0.46614993
0.280674,0.22538093,0.24759623
0.16804883,0.2563931,0.0943413
0.09245812,0.13281068,0.11020616
0.058346406,0.03228665,0.110486284
0.070466034,0.021430371,0.27553773
0.104660966,0.011711342,0.3287036
-0.035703473,0.086198255,0.21515301
0.15126678,0.029983023,0.051832438
0.1379202,-0.007909464,0.105582654
0.09584821,0.0045910235,0.13560869
0.08594697,0.054659314,0.2205677
-0.011274327,0.064217515,0.11557091
-0.069775894,-0.01069981,0.123868115
-0.012127884,0.037550464,0.19643095
0.68142104,0.5992894,0.6012731
0.49701136,0.5023817,0.5004377
0.68238497,0.6594591,0.65417546
0.71061736,0.6864854,0.6594108
